ingredient,frequency
salt,127437
sugar,103069
oil,92994
acid,91470
water,87597
flour,76912
organic,75657
corn,72004
milk,65624
wheat,54339
sodium,51628
syrup,47827
citric,37127
starch,34359
gum,34264
soy,33548
juice,32639
citric acid,31580
vitamin,30279
color,29566
garlic,28102
soybean,27426
cheese,26553
red,25205
vinegar,23893
flavors,23529
concentrate,22766
riboflavin,22604
lecithin,22555
palm,22504
folic,22491
niacin,22146
mononitrate,22085
cocoa,21991
iron,21408
folic acid,20942
butter,20840
vegetable,20361
calcium,20226
onion,19955
enriched,19926
modified,19495
potassium,19458
spices,19428
corn syrup,19380
cream,19289
yellow,18912
chocolate,18818
whole,18456
pasteurized,18137
canola,17483
whey,17400
sea,17221
natural flavor,17131
rice,17054
yeast,16916
phosphate,16393
enzymes,16022
cane,15728
wheat flour,15693
reduced,15661
pepper,15642
sunflower,15325
tomato,14827
sea salt,14723
dextrose,14356
andor,14097
fructose,14025
thiamine,13976
high,13537
protein,13465
soy lecithin,13463
reduced iron,13166
preservative,12747
maltodextrin,12526
soybean oil,12256
vanilla,12201
xanthan,12113
thiamine mononitrate,11906
nonfat,11676
natural flavors,11563
high fructose corn syrup,11096
brown,11039
coconut,11011
cultured,10819
caramel,10530
white,10457
lemon,10140
xanthan gum,10112
peppers,9999
barley,9881
thiamin,9819
blue,9795
ascorbic,9787
dehydrated,9765
food,9603
hydrogenated,9581
paprika,9514
puree,9499
chicken,9408
disodium,9378
following,9175
sorbate,9022
vitamin b,8966
mono,8838
guar,8822
cocoa butter,8807
diglycerides,8725
benzoate,8673
egg,8332
emulsifier,8246
culture,8203
cultures,8156
black,8028
skim,7990
green,7951
tomatoes,7916
honey,7885
thiamin mononitrate,7859
bean,7801
citrate,7801
apple,7713
ascorbic acid,7668
sulfate,7535
dioxide,7509
caramel color,7453
malted,7433
fat,7420
paste,7291
bleached,7239
solids,7235
potato,7232
chloride,7229
sauce,7198
seeds,7169
baking,7167
spice,7145
distilled,7143
